ID,Prediction
1,3.745401188473625
2,9.50714306409916
3,7.319939418114051
4,5.986584841970366
5,1.5601864044243652
6,1.5599452033620265
7,0.5808361216819946
8,8.661761457749352
9,6.011150117432088
10,7.080725777960454
11,0.20584494295802447
12,9.699098521619943
13,8.324426408004218
14,2.1233911067827616
15,1.8182496720710062
16,1.8340450985343382
17,3.0424224295953772
18,5.247564316322379
19,4.319450186421157
20,2.9122914019804194
21,6.118528947223795
22,1.3949386065204183
23,2.9214464853521815
24,3.663618432936917
25,4.56069984217036
26,7.851759613930136
27,1.9967378215835974
28,5.142344384136116
29,5.924145688620425
30,0.46450412719997725
31,6.075448519014383
32,1.7052412368729153
33,0.6505159298527952
34,9.488855372533333
35,9.656320330745594
36,8.08397348116461
37,3.0461376917337066
38,0.9767211400638387
39,6.842330265121569
40,4.4015249373960135
41,1.2203823484477883
42,4.951769101112702
43,0.34388521115218396
44,9.093204020787821
45,2.587799816000169
46,6.62522284353982
47,3.1171107608941098
48,5.200680211778108
49,5.4671027934327965
50,1.8485445552552704
51,9.695846277645586
52,7.7513282336111455
53,9.394989415641891
54,8.948273504276488
55,5.978999788110851
56,9.218742350231167
57,0.884925020519195
58,1.959828624191452
59,0.45227288910538066
60,3.2533033076326436
61,3.8867728968948203
62,2.713490317738959
63,8.287375091519294
64,3.567533266935893
65,2.8093450968738076
66,5.426960831582485
67,1.4092422497476265
68,8.021969807540398
69,0.7455064367977082
70,9.868869366005173
71,7.722447692966574
72,1.987156815341724
73,0.05522117123602399
74,8.154614284548341
75,7.068573438476172
76,7.2900716804098735
77,7.712703466859457
78,0.7404465173409036
79,3.5846572854427263
80,1.1586905952512971
81,8.631034258755935
82,6.232981268275579
83,3.308980248526492
84,0.6355835028602363
85,3.109823217156622
86,3.2518332202674705
87,7.29606178338064
88,6.3755747135521315
89,8.872127425763265
90,4.722149251619493
91,1.195942459383017
92,7.13244787222995
93,7.607850486168974
94,5.612771975694963
95,7.70967179954561
96,4.937955963643907
97,5.227328293819941
98,4.275410183585496
99,0.2541912674409519
100,1.0789142699330445
101,0.3142918568673425
102,6.364104112637804
103,3.143559810763267
104,5.085706911647028
105,9.07566473926093
106,2.4929222914887497
107,4.103829230356297
108,7.555511385430487
109,2.2879816549162246
110,0.7697990982879299
111,2.8975145291376805
112,1.6122128725400442
113,9.29697652342573
114,8.08120379564417
115,6.334037565104235
116,8.714605901877178
117,8.036720768991145
118,1.8657005888603584
119,8.925589984899778
120,5.393422419156507
121,8.074401551640625
122,8.960912999234932
123,3.1800347497186388
124,1.1005192452767676
125,2.279351625419417
126,4.271077886262563
127,8.18014765922493
128,8.607305832563434
129,0.06952130531190703
130,5.107473025775658
131,4.17411003148779
132,2.2210781047073027
133,1.198653673336828
134,3.3761517140362796
135,9.429097039125192
136,3.2320293202075523
137,5.187906217433661
138,7.030189588951778
139,3.63629602379294
